Diameter_cm,Diameter_mm,ErosionRate_gPerDay,ErosionRate_mgPerDay,Location,Paper,Source,Notes
6.523369454,65.23369454,0.25559465,255.5946495,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.641540885,66.41540885,0.294400774,294.4007742,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.640986227,66.40986227,0.259064058,259.064058,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.627090575,66.27090575,0.280539117,280.5391171,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.704953244,67.04953244,0.340122478,340.1224783,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.75264772,67.5264772,0.305807598,305.8075976,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.70897567,67.0897567,0.261336684,261.3366843,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.781307504,67.81307504,0.339899764,339.8997641,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.823614803,68.23614803,0.307696246,307.6962459,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.921331016,69.21331016,0.372372873,372.3728733,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.971007974,69.71007974,0.02479542,24.79542016,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
6.999667757,69.99667757,0.372428303,372.4283032,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
7.05432965,70.5432965,0.407790995,407.7909948,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
7.16298303,71.6298303,0.405074841,405.0748408,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
7.182999387,71.82999387,0.393332938,393.332938,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
7.26177189,72.6177189,0.455071382,455.0713824,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
7.257059906,72.57059906,0.396484884,396.4848843,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
7.314379473,73.14379473,0.357272758,357.2727578,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
7.368255666,73.68255666,0.458179538,458.1795376,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
7.436460093,74.36460093,0.40402123,404.0212304,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
7.39213132,73.9213132,0.357561569,357.5615692,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
7.492473055,74.92473055,0.462573175,462.5731748,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
7.516908608,75.16908608,0.404407442,404.4074422,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
7.560580658,75.60580658,0.466044383,466.0443829,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
