Diameter_cm,Diameter_mm,ErosionRate_gPerDay,ErosionRate_mgPerDay,Location,Paper,Source,Notes
5.341320361,53.41320361,1.333762381,1333.762381,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.321630596,53.21630596,1.172326688,1172.326688,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.293741779,52.93741779,1.005975532,1005.975532,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.424958467,54.24958467,1.344927437,1344.927437,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.447676072,54.47676072,1.216254794,1216.254794,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.505387014,55.05387014,1.056663736,1056.663736,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.571482068,55.71482068,1.213169905,1213.169905,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.608131191,56.08131191,1.069862213,1069.862213,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.707305409,57.07305409,1.190699842,1190.699842,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.740002356,57.40002356,1.472780671,1472.780671,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.772888241,57.72888241,1.189978838,1189.978838,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
5.820908619,58.20908619,1.470089877,1470.089877,Kenya,Carreiro-Silva and McClanahan 2001,Carreiro-Silva and McClanahan 2001,"Webplot digitized biomass from McClanahan 1988, converted to erosion using constant"
